35 21 90.00 0
RRRRP RRRR_ BBBB_ BBBB_ BMBM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ YGYG_ GGGG_ MMMM_ MMMM_ MMMM_ MMMM_ MMMM_ MMMM_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ YYYY_ YMYM_ MMMM_ MMMM_ BBBB_ BBBB_ BRBR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMM_ MMMMY MMMM+ MMMMY MMMMY MMMMY GGGG_ CCCC_ CCCCY CCCC_ CCCC_ CCCC_ CCCC_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMMT MMMMY MMMM_ MMMM_ MMMM_ MMMMG GGGG_ CCCC_ CCCC+ CCCC_ CCCC_ CCCC_ CCCC_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMMY MMMM_ MMMM_ MMMM_ MMMM_ MMMM_ GGGG_ CCCC_ CCCCY CCCC_ CCCC_ CCCC_ CCCC_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB@ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB@ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMMT MMMM_ MMMM_ MMMM_ MMMM_ MMMM_ GGGG_ CCCC_ CCCCG CCCC_ CCCC_ CCCC_ CCCC_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMMT MMMM_ MMMM_ MMMM+ MMMM+ MMMM+ GGGG_ CCCC_ CCCCY CCCC_ CCCC_ CCCC_ CCCC_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMMT MMMM_ MMMM_ MMMM_ MMMM_ MMMMY GGGG_ CCCC_ CCCC+ CCCC_ CCCC_ CCCC_ CCCC_ GGGGF GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMMY MMMM_ MMMM_ MMMM_ MMMMT MMMMT GGGG_ CCCC_ CCCCY CCCC_ CCCC_ CCCC_ CCCC_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR⌄ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMM_ MMMM+ MMMMY MMMMT MMMMT MMMM_ GGGG_ CCCC_ CCCCY CCCC_ CCCC_ CCCC_ CCCC_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC@ YYYY_ YYYY_ GGGG_ GGGG_ MMMM_ MMMM_ MMMM_ MMMM_ MMMM_ MMMM) GGMC_ CCCC) CCCC+ CCCCY CCCCT CCCCT CCCCY GGGG_ GGGG_ YYYY@ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ MMMM_ MMMM_ MMMM_ MMMM_ MMMM_ MMMM) MCBY_ CCCC) CCCC_ CCCC_ CCCC_ CCCC_ CCCC_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM⌄ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBB_ BBBB_ BBBB_ BBBB_ BBBB_ BBBB) BYGG_ YYYY) YYYY_ YYYY_ YYYY_ YYYY_ YYYY_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBB_ BBBB_ BBBB_ BBBB_ BBBB_ BBBB) GGGG_ YYYY) YYYY_ YYYY_ YYYY_ YYYYY YYYY_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBB_ BBBBG BBBB+ BBBB_ BBBB_ BBBB_ GGGG_ YYYY+ YYYY_ YYYYT YYYY_ YYYYY YYYY_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBB+ BBBB_ BBBB_ BBBB_ BBBB_ BBBB_ GGGG_ YYYY_ YYYY_ YYYY_ YYYYT YYYYY YYYY_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBB+ BBBB+ BBBB_ BBBBG BBBB+ BBBB_ GGGG_ YYYYY YYYYT YYYYT YYYY+ YYYYY YYYYT GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBBG BBBB+ BBBB_ BBBB_ BBBB_ BBBB+ GGGG_ YYYY_ YYYYT YYYY_ YYYY+ YYYY_ YYYY_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBB_ BBBB_ BBBB_ BBBB_ BBBBG BBBB_ GGGG_ YYYY_ YYYY_ YYYYT YYYY_ YYYY_ YYYY_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR⌄ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBB_ BBBB_ BBBB{ BBBB_ BBBB_ BBBB_ GGGG_ YYYYT YYYY_ YYYY_ YYYY* YYYY_ YYYY_ GGGG_ GGGG} YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR_ RRRR_
RRRR_ RRRR_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CCCC_ YYYY_ YYYY_ GGGG_ GGGG_ BBBB_ BBBB_ BBBB_ BBBB_ BBBB_ BBBB_ GGGG_ YYYY_ YYYY_ YYYY_ YYYY_ YYYY_ YYYY_ GGGG_ GGGG_ YYYY_ YYYY_ MMMM_ MMMM_ BBBB_ BBBB_ RRRR( RRRR(
RRRR_ RBRB_ BBBB_ BBBB_ MMMM_ MMMM_ CCCC_ CYCY_ YYYY_ YYYY_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ GGGG_ YYYY_ YYYY_ YYYY_ YYYY_ YYYY_ YYYY_ GGGG_ GGGG_ GYGY_ YYYY_ MMMM_ MBMB_ BBBB_ BBBB_ RRRR( RRRRD
